feat,weight
僕,-1.8270799957872539
俺,-0.9707493435368209
妻,-0.7752727925817031
釣り,-0.5784017846307463
ボク,-0.5121722599073483
美味い,-0.48145438681321806
整体,-0.4711527089083593
天気,-0.4430034178374597
ラーメン,-0.43528234259433907
ゴルフ,-0.39903144062627444
それでは,-0.39696829650309245
奥さん,-0.3824241329341009
しかし,-0.38236129983751904
んで,-0.3625165664565864
麺,-0.3604453392969322
(^^),-0.358861055119758
ぼく,-0.35132273240270123
動画,-0.3417745556781602
まあ,-0.33867232047239554
嫁さん,-0.3324967767441484
無い,-0.33211688651066806
っす,-0.32709451031628906
院,-0.32475423322695673
お客さん,-0.308783505139554
稽古,-0.3079722129364906
ぜ,-0.3036683968376718
ラウンド,-0.2962479893358897
オレ,-0.29462870122142115
釣れ,-0.2946149177850513
選手,-0.28664036702825474
当然,-0.28343227848395713
旨い,-0.2806942721864487
店,-0.2778044526893573
クリック,-0.26728044380471755
酒,-0.26128357693077064
ぐらい,-0.25758590443185236
バイク,-0.25537771283508104
読者,-0.2530434933531934
ほな,-0.2516785220447796
どうも,-0.24893724212923912
昼,-0.24438748642032748
美容室,-0.24074798246029253
非常,-0.2386238448037762
試合,-0.238544481542588
嫁,-0.23834784315377716
男,-0.23781221046915274
大会,-0.23639732856341633
屋,-0.23044447402309198
本日,-0.2286975446133593
個人的,-0.22346447839865632
