feat,weight
笑,-0.6638287356464763
ω,-0.5760407038989394
アレク,-0.5626294060112245
こんばんわ,-0.5614823563641523
こんにちわ,-0.5588705652315182
ペンギン,-0.5179118906705489
ｗ,-0.4438272325955404
Twitter,-0.44117938630129094
美彩,-0.4329489100400928
ANTIMINSS,-0.4216926000147076
トコマ,-0.41667812389017844
評価,-0.39467699807229983
ばい,-0.3934015853274632
こんばんは,-0.3931706073750857
撮影会,-0.3837709498596576
w,-0.3754061556767376
＼(^o^)／,-0.3626653482917759
バイト,-0.33021420377799665
！,-0.3277958086945001
またね,-0.32711550817218754
公式,-0.32328514494253535
更新,-0.32114337668056403
♡,-0.31286925920908115
ww,-0.3081079404893237
ユーヤ,-0.3076067391013757
撮影,-0.305335517909022
ゎ,-0.3044772052039873
こんにちは,-0.303568036474988
←,-0.3026104134252598
YouTube,-0.30172212313592256
ゃぎりん,-0.29545586544918173
是非,-0.2950665410926383
僕,-0.2948717351199829
＼(^^)／,-0.2926362378575845
公演,-0.29178837808431096
エンジェル,-0.29069898364257013
涼,-0.2905161487016538
中本文,-0.28698863357401516
...,-0.2847311391248256
BLOGANTIMINSS,-0.2784293749301925
ﾃﾞｺﾃﾝﾌﾟﾚ,-0.27827230549948423
まとめる,-0.27826160826332513
ジョギング,-0.27644334790150854
▽,-0.27165166413188935
彼,-0.2687771735177191
ぜひ,-0.26771106442492953
ゆり,-0.26396363758355545
くま,-0.2589940238470151
ゆーや,-0.25744960158995
クロ,-0.25634210080803893
