feat,weight
03,0.9992434821638407
新宿,0.7355108861452194
東京,0.708317733829217
渋谷,0.7009292971149553
銀座,0.6853799417639086
吉祥寺,0.598677201471645
都内,0.517989718956937
池袋,0.505079821472294
表参道,0.44886679148487396
徒歩,0.428106010078285
恵比寿,0.4003434171860505
立川,0.37641006761756235
八王子,0.34065879601259424
京王線,0.31687426679595165
六本木,0.3037651255383343
自由が丘,0.30107664200192635
tokyo,0.2961430870211446
世田谷区,0.2870056859559098
目黒,0.28204046596592874
下北沢,0.2725796139346357
稽古,0.25011252199461176
江戸川区,0.2493280975527986
東京メトロ,0.24496989794061397
042,0.24417555969733065
駅,0.23660364630258518
出演,0.23295006252789238
WEB,0.23220795041738457
ﾎﾟﾁ,0.22738928509591982
iPhone,0.22545641900827906
青山,0.22490420990172785
トラコミュ,0.22196170941066234
豊洲,0.22105641235456341
開運,0.21946929973421092
浅草,0.218785905020423
東京都,0.21037691836455086
中学受験,0.20573748023158334
山手線,0.20572724644552848
有楽町線,0.20300373486634776
ﾃﾞｽ,0.20097378482615952
Twitter,0.19738817491427824
荻窪,0.19695930805259176
原宿,0.1866800871808736
恋愛,0.18503165453411813
世田谷,0.18439700477494034
舞台,0.1825301411819051
三鷹,0.1782990278721636
★,0.17744876949846175
北口,0.17172160776808162
国立,0.17024107646637987
美容,0.17009973611543558
