feat,weight
の,-0.7865540195709201
nan,-0.6565468467817613
大阪,-0.42203138447533484
て,-0.34371194437728747
た,-0.28763504317253374
東京,-0.24685970729438106
に,-0.24297153479218042
福岡,-0.24255741243704687
名古屋,-0.23479948454676766
は,-0.22657657284121221
横浜,-0.19504767223205677
京都,-0.1912869345590521
投稿,-0.18242985865491462
、,-0.17650564284081233
札幌,-0.13627175843017253
http://,-0.13059667982900985
いろんな,-0.11975021684732809
やん,-0.11949894945047022
-,-0.11735185953626437
ます,-0.11696188102377703
『,-0.11325871308073707
-3,-0.11245463339106997
",",-0.09986208051268586
！,-0.09929383565366424
が,-0.09430393716316653
めっちゃ,-0.09359252955578223
!!,-0.09087544740552848
神戸,-0.08995023704867032
や,-0.08724496140216573
あなた,-0.08651313612406526
てる,-0.08551668429213055
クリック,-0.0829539712307499
️,-0.08294628453463174
・,-0.08195939655013955
★,-0.08084467383748635
ブログ,-0.08075850349447669
みなさん,-0.0803122729187854
について,-0.07427537946392083
.com,-0.07104632566375396
アップ,-0.06914980284015203
で,-0.06885255100767139
～,-0.06786621411604549
から,-0.06691935379481947
Instagram,-0.06655975193510845
03,-0.06228523543416514
。,-0.059514535116233835
iPhone,-0.058474489648864175
問い合わせ,-0.05760957939263163
お,-0.056520767795311525
ページ,-0.05629696089833994
