feat,weight
埼玉,0.9873148981021194
さいたま市,0.8710167597001587
大宮,0.7133656383328862
埼玉県,0.6667775227701812
浦和,0.6113851427872519
048,0.5493390698774421
川越,0.4865911410412473
越谷市,0.39468088129693696
川越市,0.3028605579003219
川口市,0.29690733167858385
西口,0.26966139469169736
越谷,0.2654897798191404
俳優,0.2648143920404332
池袋,0.2504467249537441
さいたま,0.24718410479103314
熊谷,0.24542580282562101
川口,0.21201749188496416
所沢,0.2104363550756671
監督,0.19988993226690244
都内,0.19869512609045498
flower,0.19283332363579073
熊谷市,0.18412307467840683
所沢市,0.180930585018783
猫,0.17810178887377523
’,0.16554629783371144
朝霞,0.16539138420106891
↓,0.15885623264220988
ID,0.15791272147402569
大宮駅,0.15401297681581086
を通じて,0.15365839652009852
草加市,0.15314069700759605
春日部市,0.1519634759136974
徒歩,0.15070538072577888
関東,0.14665732687633412
お願い,0.14495414849975388
坂戸市,0.143019883695535
',0.13885598311249647
アメブロ,0.13558341825447714
演技,0.13402900757692315
武蔵野線,0.12449279812944195
または,0.1242181178389988
参加,0.12065187699547696
狭山市,0.11733423835380415
い,0.11675279440305986
公開,0.11582721200209894
東口,0.11401251051227689
いる,0.11158363953720948
所,0.11094904174443579
ママ,0.11087089894971686
東武東上線,0.10953718288171252
